Step  196: PC=8   | LOAD $t0, 44($zero)                 | SP=53 t0=0   t1=10  t2=1   ra=86 
Step  197: PC=9   | STORE $t0, 60($zero)                | SP=53 t0=0   t1=10  t2=1   ra=86 
Step  198: PC=10  | LOAD $t0, 44($zero)                 | SP=53 t0=0   t1=10  t2=1   ra=86 
Step  199: PC=11  | ADD $at, $t0, $t0                   | SP=53 t0=0   t1=10  t2=1   ra=86 
Step  200: PC=12  | ADD $at, $at, $at                   | SP=53 t0=0   t1=10  t2=1   ra=86 
Step  201: PC=13  | LOAD $t1, 40($zero)                 | SP=53 t0=0   t1=10  t2=1   ra=86 
Step  202: PC=14  | ADD $t1, $t1, $at                   | SP=53 t0=0   t1=0   t2=1   ra=86 
Step  203: PC=15  | LOAD $t1, 0($t1)                    | SP=53 t0=0   t1=0   t2=1   ra=86 
Step  204: PC=16  | STORE $t1, 56($zero)                | SP=53 t0=0   t1=9   t2=1   ra=86 
Step  205: PC=17  | LOAD $t0, 44($zero)                 | SP=53 t0=0   t1=9   t2=1   ra=86 
Step  206: PC=18  | ADDI $t1, $zero, 1                  | SP=53 t0=0   t1=9   t2=1   ra=86 
Step  207: PC=19  | ADD $t2, $t0, $t1                   | SP=53 t0=0   t1=1   t2=1   ra=86 
Step  208: PC=20  | STORE $t2, 52($zero)                | SP=53 t0=0   t1=1   t2=1   ra=86 
Step  209: PC=21  | LOAD $t0, 52($zero)                 | SP=53 t0=0   t1=1   t2=1   ra=86 
Step  210: PC=22  | LOAD $t1, 48($zero)                 | SP=53 t0=1   t1=1   t2=1   ra=86 
Step  211: PC=23  | BGE $t0, $t1, 47  # (offset=23)     | SP=53 t0=1   t1=10  t2=1   ra=86 
Step  212: PC=24  | LOAD $t0, 52($zero)                 | SP=53 t0=1   t1=10  t2=1   ra=86 
Step  213: PC=25  | ADD $at, $t0, $t0                   | SP=53 t0=1   t1=10  t2=1   ra=86 
Step  214: PC=26  | ADD $at, $at, $at                   | SP=53 t0=1   t1=10  t2=1   ra=86 
Step  215: PC=27  | LOAD $t1, 40($zero)                 | SP=53 t0=1   t1=10  t2=1   ra=86 
Step  216: PC=28  | ADD $t1, $t1, $at                   | SP=53 t0=1   t1=0   t2=1   ra=86 
Step  217: PC=29  | LOAD $t1, 0($t1)                    | SP=53 t0=1   t1=4   t2=1   ra=86 
Step  218: PC=30  | LOAD $t0, 56($zero)                 | SP=53 t0=1   t1=2   t2=1   ra=86 
Step  219: PC=31  | BGE $t1, $t0, 42  # (offset=10)     | SP=53 t0=9   t1=2   t2=1   ra=86 
Step  220: PC=32  | LOAD $t0, 52($zero)                 | SP=53 t0=9   t1=2   t2=1   ra=86 
Step  221: PC=33  | ADD $at, $t0, $t0                   | SP=53 t0=1   t1=2   t2=1   ra=86 
Step  222: PC=34  | ADD $at, $at, $at                   | SP=53 t0=1   t1=2   t2=1   ra=86 
Step  223: PC=35  | LOAD $t1, 40($zero)                 | SP=53 t0=1   t1=2   t2=1   ra=86 
Step  224: PC=36  | ADD $t1, $t1, $at                   | SP=53 t0=1   t1=0   t2=1   ra=86 
Step  225: PC=37  | LOAD $t1, 0($t1)                    | SP=53 t0=1   t1=4   t2=1   ra=86 
Step  226: PC=38  | STORE $t1, 56($zero)                | SP=53 t0=1   t1=2   t2=1   ra=86 
Step  227: PC=39  | LOAD $t0, 52($zero)                 | SP=53 t0=1   t1=2   t2=1   ra=86 
Step  228: PC=40  | STORE $t0, 60($zero)                | SP=53 t0=1   t1=2   t2=1   ra=86 
Step  229: PC=41  | JUMP 42  # (offset=0)               | SP=53 t0=1   t1=2   t2=1   ra=86 
Step  230: PC=42  | LOAD $t0, 52($zero)                 | SP=53 t0=1   t1=2   t2=1   ra=86 
Step  231: PC=43  | ADDI $t1, $zero, 1                  | SP=53 t0=1   t1=2   t2=1   ra=86 
Step  232: PC=44  | ADD $t2, $t0, $t1                   | SP=53 t0=1   t1=1   t2=1   ra=86 
Step  233: PC=45  | STORE $t2, 52($zero)                | SP=53 t0=1   t1=1   t2=2   ra=86 
Step  234: PC=46  | JUMP 21  # (offset=-26)             | SP=53 t0=1   t1=1   t2=2   ra=86 
Step  235: PC=21  | LOAD $t0, 52($zero)                 | SP=53 t0=1   t1=1   t2=2   ra=86 
Step  236: PC=22  | LOAD $t1, 48($zero)                 | SP=53 t0=2   t1=1   t2=2   ra=86 
Step  237: PC=23  | BGE $t0, $t1, 47  # (offset=23)     | SP=53 t0=2   t1=10  t2=2   ra=86 
Step  238: PC=24  | LOAD $t0, 52($zero)                 | SP=53 t0=2   t1=10  t2=2   ra=86 
Step  239: PC=25  | ADD $at, $t0, $t0                   | SP=53 t0=2   t1=10  t2=2   ra=86 
Step  240: PC=26  | ADD $at, $at, $at                   | SP=53 t0=2   t1=10  t2=2   ra=86 
Step  241: PC=27  | LOAD $t1, 40($zero)                 | SP=53 t0=2   t1=10  t2=2   ra=86 
Step  242: PC=28  | ADD $t1, $t1, $at                   | SP=53 t0=2   t1=0   t2=2   ra=86 
Step  243: PC=29  | LOAD $t1, 0($t1)                    | SP=53 t0=2   t1=8   t2=2   ra=86 
Step  244: PC=30  | LOAD $t0, 56($zero)                 | SP=53 t0=2   t1=7   t2=2   ra=86 
Step  245: PC=31  | BGE $t1, $t0, 42  # (offset=10)     | SP=53 t0=2   t1=7   t2=2   ra=86 
Step  246: PC=42  | LOAD $t0, 52($zero)                 | SP=53 t0=2   t1=7   t2=2   ra=86 
Step  247: PC=43  | ADDI $t1, $zero, 1                  | SP=53 t0=2   t1=7   t2=2   ra=86 
Step  248: PC=44  | ADD $t2, $t0, $t1                   | SP=53 t0=2   t1=1   t2=2   ra=86 
Step  249: PC=45  | STORE $t2, 52($zero)                | SP=53 t0=2   t1=1   t2=3   ra=86 
Step  250: PC=46  | JUMP 21  # (offset=-26)             | SP=53 t0=2   t1=1   t2=3   ra=86 
Step  251: PC=21  | LOAD $t0, 52($zero)                 | SP=53 t0=2   t1=1   t2=3   ra=86 
Step  252: PC=22  | LOAD $t1, 48($zero)                 | SP=53 t0=3   t1=1   t2=3   ra=86 
Step  253: PC=23  | BGE $t0, $t1, 47  # (offset=23)     | SP=53 t0=3   t1=10  t2=3   ra=86 
Step  254: PC=24  | LOAD $t0, 52($zero)                 | SP=53 t0=3   t1=10  t2=3   ra=86 
Step  255: PC=25  | ADD $at, $t0, $t0                   | SP=53 t0=3   t1=10  t2=3   ra=86 
Step  256: PC=26  | ADD $at, $at, $at                   | SP=53 t0=3   t1=10  t2=3   ra=86 
Step  257: PC=27  | LOAD $t1, 40($zero)                 | SP=53 t0=3   t1=10  t2=3   ra=86 
Step  258: PC=28  | ADD $t1, $t1, $at                   | SP=53 t0=3   t1=0   t2=3   ra=86 
Step  259: PC=29  | LOAD $t1, 0($t1)                    | SP=53 t0=3   t1=12  t2=3   ra=86 
Step  260: PC=30  | LOAD $t0, 56($zero)                 | SP=53 t0=3   t1=1   t2=3   ra=86 
Step  261: PC=31  | BGE $t1, $t0, 42  # (offset=10)     | SP=53 t0=2   t1=1   t2=3   ra=86 
Step  262: PC=32  | LOAD $t0, 52($zero)                 | SP=53 t0=2   t1=1   t2=3   ra=86 
Step  263: PC=33  | ADD $at, $t0, $t0                   | SP=53 t0=3   t1=1   t2=3   ra=86 
